Player_ID,Age,Country,Studio_Region,Game_Title,Genre,Game_Mode,Platform,Device_Type,Sales_Channel,Game_Release_Year,Join_Date,Last_Login,Session_Start_Time,Session_End_Time,Daily_Playtime (mins),In_Game_Purchases ($),Units_Sold,Revenue_Generated ($),Membership_Tier,Favorite_Mode,Support_Tickets_Raised,Refund_Requested,Marketing_Source,Churned
P1000,20.0,India,Kolkata,FIFA 24,Battle Royale,Battle Royale,PC,Switch,Steam,2019,2023-09-25,2023-10-27,08:05:00,09:15:00,70,46.53,5,232.65,Free,Solo,2,No,In-Game Promo,Yes
P1001,39.0,USA,Delhi,PUBG,,Zombies,PC,Switch,Company Website,2023,2022-02-12,2022-12-27,14:48:00,16:29:00,101,20.44,4,81.76,Free,Team,1,No,Ads,Yes
P1002,42.0,Brazil,Bangalore,Apex Legends,FPS,Ranked,Console,Switch,App Store,2021,2019-10-12,2020-04-16,15:49:00,17:18:00,89,197.04,2,394.08,VIP,Team,0,No,YouTube,Yes
P1003,23.0,UK,Pune,Fortnite,Strategy,Solo,Mobile,Switch,Steam,2020,2021-09-29,2022-08-29,22:24:00,23:48:00,84,197.9,5,989.5,Free,Team,2,No,Ads,Yes
P1004,27.0,India,Pune,Apex Legends,Sports,Zombies,PC,Android Tablet,App Store,2021,2024-08-06,2025-02-24,22:09:00,23:31:00,82,27.93,5,139.65,Premium,,1,No,In-Game Promo,Yes
P1005,38.0,,Hyderabad,Fortnite,Adventure,Team Deathmatch,PC,PS5,Steam,2020,2020-10-17,2025-03-27,21:38:00,22:09:00,31,76.95,5,384.75,VIP,,0,No,In-Game Promo,Yes
P1006,13.0,Canada,Kolkata,Call of Duty,Strategy,Ranked,Console,,App Store,2019,2022-04-17,2024-09-23,13:29:00,13:44:00,15,190.76,3,572.28,VIP,Solo,1,No,Ads,Yes
P1007,32.0,Canada,Chennai,PUBG,Battle Royale,Battle Royale,Console,Xbox Series X,Steam,2023,2024-06-24,2024-07-03,11:59:00,13:46:00,107,175.74 USD,3,527.22,Free,Solo,3,Yes,Ads,Yes
P1008,,Canada,Delhi,Call of Duty,Adventure,Battle Royale,PC,Switch,Company Website,2020,2021-12-21,2024-12-05,21:13:00,23:46:00,153,151.05,2,302.1,Premium,,4,Yes,YouTube,Yes
P1009,41.0,Brazil,Delhi,Call of Duty,Battle Royale,Battle Royale,PC,iPhone 14,Steam,2021,2021-06-21,2021-07-05,10:45:00,13:41:00,176,11.77,1,11.77,VIP,,0,No,Referral,Yes
P1010,30.0,Canada,Delhi,Fortnite,,Battle Royale,Mobile,Android Tablet,Company Website,2021,2024-04-21,2025-06-08,21:12:00,21:51:00,39,19.39,4,77.56,Free,Team,0,No,Ads,No
P1011,19.0,India,Delhi,Minecraft,Sports,Zombies,PC,Xbox Series X,PlayStation Store,2025,2020-07-28,2022-12-09,13:17:00,15:30:00,133,49.96,1,49.96,Free,Ranked,0,No,In-Game Promo,Yes
P1012,13.0,India,Hyderabad,Fortnite,Survival,Team Deathmatch,Console,xbox,Company Website,2018,2020-11-05,2022-12-21,08:24:00,09:46:00,82,185.3,4,741.2,Free,Ranked,4,Yes,In-Game Promo,Yes
P1013,44.0,USA,Hyderabad,FIFA 24,,Zombies,Mobile,Switch,Steam,2023,2019-08-23,2020-03-15,23:32:00,02:02:00,-1290,31.49,5,157.45,Free,Solo,0,No,Ads,Yes
P1014,,,Bangalore,PUBG,Battle Royale,Ranked,Mobile,PS5,Steam,2024,2024-11-11,2025-01-30,16:13:00,17:48:00,95,47.74,4,190.96,Free,Ranked,0,No,YouTube,Yes
P1015,,,Delhi,PUBG,Adventure,Zombies,PC,Android Tablet,PlayStation Store,2022,2020-06-26,2022-06-10,10:56:00,12:13:00,77,73.91,2,147.82,Free,Ranked,2,No,In-Game Promo,Yes
P1016,13.0,Canada,Chennai,FIFA 24,Strategy,Zombies,PC,iPhone 14,Steam,2019,2020-09-28,2022-04-08,17:38:00,18:46:00,68,143.52,2,287.04,Premium,,1,No,YouTube,Yes
P1017,,India,Kolkata,Apex Legends,Sports,Zombies,PC,iPhone 14,PlayStation Store,2022,2020-10-23,2024-12-19,22:35:00,00:39:00,-1316,112.18,1,112.18,Free,Ranked,3,Yes,In-Game Promo,Yes
P1018,15.0,UK,Chennai,PUBG,Battle Royale,Team Deathmatch,PC,PlayStation 5,App Store,2023,2019-06-13,2023-06-17,14:43:00,16:01:00,78,133.39 USD,3,400.17,Premium,Team,4,Yes,Referral,Yes
P1019,28.0,,Hyderabad,Apex Legends,FPS,Battle Royale,Mobile,,Company Website,2021,2021-12-28,2022-11-19,11:24:00,11:48:00,24,171.72,2,343.44,Free,Team,0,No,Referral,Yes
P1020,27.0,India,Kolkata,Fortnite,Survival,Solo,Console,PS5,App Store,2023,2024-09-17,2025-04-09,18:01:00,18:45:00,44,175.41,3,526.23,Free,Team,0,No,In-Game Promo,Yes
P1021,40.0,UK,Kolkata,FIFA 24,Survival,Ranked,Mobile,PS5,Company Website,2021,2021-11-09,2022-02-07,21:00:00,23:28:00,148,185.12,5,925.6,Premium,Ranked,2,No,Referral,Yes
P1022,36.0,Germany,Bangalore,Minecraft,Sports,Ranked,Console,Switch,Steam,2022,2024-09-08,2025-02-13,21:20:00,23:18:00,118,139.44,5,697.2,Free,Team,1,No,Influencer,Yes
