Player_ID,Age,Country,Studio_Region,Game_Title,Genre,Game_Mode,Platform,Device_Type,Sales_Channel,Game_Release_Year,Join_Date,Last_Login,Session_Start_Time,Session_End_Time,Daily_Playtime (mins),In_Game_Purchases ($),Membership_Tier,Favorite_Mode,Support_Tickets_Raised,Refund_Requested,Marketing_Source,Churned,Session_Start_Hour,Session_Interval
P1000,20,India,Kolkata,FIFA 24,Battle Royale,Battle Royale,PC,Switch,Steam,2019,2023-09-25,2023-10-27,08:05:00,09:15:00,70.0,46.53,Free,Solo,2,No,In-Game Promo,Yes,8,8-9
P1001,39,USA,Delhi,PUBG,Battle Royale,Zombies,PC,Switch,Company Website,2023,2022-02-12,2022-12-27,14:48:00,16:29:00,101.0,20.44,Free,Team,1,No,Ads,Yes,14,14-15
P1002,42,Brazil,Bangalore,Apex Legends,FPS,Ranked,Console,Switch,App Store,2021,2019-10-12,2020-04-16,15:49:00,17:18:00,89.0,197.04,VIP,Team,0,No,YouTube,Yes,15,15-16
P1003,23,UK,Pune,Fortnite,Strategy,Solo,Mobile,Switch,Steam,2020,2021-09-29,2022-08-29,22:24:00,23:48:00,84.0,197.9,Free,Team,2,No,Ads,Yes,22,22-23
P1004,27,India,Pune,Apex Legends,Sports,Zombies,PC,Android Tablet,App Store,2021,2024-08-06,2025-02-24,22:09:00,23:31:00,82.0,27.93,Premium,Team,1,No,In-Game Promo,Yes,22,22-23
P1005,38,India,Hyderabad,Fortnite,Adventure,Team Deathmatch,PC,PS5,Steam,2020,2020-10-17,2025-03-27,21:38:00,22:09:00,31.0,76.95,VIP,Team,0,No,In-Game Promo,Yes,21,21-22
P1006,13,Canada,Kolkata,Call of Duty,Strategy,Ranked,Console,PS5,App Store,2019,2022-04-17,2024-09-23,13:29:00,13:44:00,15.0,190.76,VIP,Solo,1,No,Ads,Yes,13,13-14
P1007,32,Canada,Chennai,PUBG,Battle Royale,Battle Royale,Console,Xbox Series X,Steam,2023,2024-06-24,2024-07-03,11:59:00,13:46:00,107.0,0.0,Free,Solo,3,Yes,Ads,Yes,11,11-12
P1008,36,Canada,Delhi,Call of Duty,Adventure,Battle Royale,PC,Switch,Company Website,2020,2021-12-21,2024-12-05,21:13:00,23:46:00,153.0,151.05,Premium,Solo,4,Yes,YouTube,Yes,21,21-22
P1009,41,Brazil,Delhi,Call of Duty,Battle Royale,Battle Royale,PC,iPhone 14,Steam,2021,2021-06-21,2021-07-05,10:45:00,13:41:00,176.0,11.77,VIP,Solo,0,No,Referral,Yes,10,10-11
P1010,30,Canada,Delhi,Fortnite,Battle Royale,Battle Royale,Mobile,Android Tablet,Company Website,2021,2024-04-21,2025-06-08,21:12:00,21:51:00,39.0,19.39,Free,Team,0,No,Ads,No,21,21-22
P1011,19,India,Delhi,Minecraft,Sports,Zombies,PC,Xbox Series X,PlayStation Store,2025,2020-07-28,2022-12-09,13:17:00,15:30:00,133.0,49.96,Free,Ranked,0,No,In-Game Promo,Yes,13,13-14
P1012,13,India,Hyderabad,Fortnite,Survival,Team Deathmatch,Console,Xbox,Company Website,2018,2020-11-05,2022-12-21,08:24:00,09:46:00,82.0,185.3,Free,Ranked,4,Yes,In-Game Promo,Yes,8,8-9
P1013,44,USA,Hyderabad,FIFA 24,Survival,Zombies,Mobile,Switch,Steam,2023,2019-08-23,2020-03-15,23:32:00,02:02:00,150.0,31.49,Free,Solo,0,No,Ads,Yes,23,23-24
P1014,33,USA,Bangalore,PUBG,Battle Royale,Ranked,Mobile,PS5,Steam,2024,2024-11-11,2025-01-30,16:13:00,17:48:00,95.0,47.74,Free,Ranked,0,No,YouTube,Yes,16,16-17
P1015,23,USA,Delhi,PUBG,Adventure,Zombies,PC,Android Tablet,PlayStation Store,2022,2020-06-26,2022-06-10,10:56:00,12:13:00,77.0,73.91,Free,Ranked,2,No,In-Game Promo,Yes,10,10-11
P1016,13,Canada,Chennai,FIFA 24,Strategy,Zombies,PC,iPhone 14,Steam,2019,2020-09-28,2022-04-08,17:38:00,18:46:00,68.0,143.52,Premium,Ranked,1,No,YouTube,Yes,17,17-18
P1017,14,India,Kolkata,Apex Legends,Sports,Zombies,PC,iPhone 14,PlayStation Store,2022,2020-10-23,2024-12-19,22:35:00,00:39:00,124.0,112.18,Free,Ranked,3,Yes,In-Game Promo,Yes,22,22-23
P1018,15,UK,Chennai,PUBG,Battle Royale,Team Deathmatch,PC,Ps5,App Store,2023,2019-06-13,2023-06-17,14:43:00,16:01:00,78.0,0.0,Premium,Team,4,Yes,Referral,Yes,14,14-15
P1019,28,UK,Hyderabad,Apex Legends,FPS,Battle Royale,Mobile,Ps5,Company Website,2021,2021-12-28,2022-11-19,11:24:00,11:48:00,24.0,171.72,Free,Team,0,No,Referral,Yes,11,11-12
P1020,27,India,Kolkata,Fortnite,Survival,Solo,Console,PS5,App Store,2023,2024-09-17,2025-04-09,18:01:00,18:45:00,44.0,175.41,Free,Team,0,No,In-Game Promo,Yes,18,18-19
P1021,40,UK,Kolkata,FIFA 24,Survival,Ranked,Mobile,PS5,Company Website,2021,2021-11-09,2022-02-07,21:00:00,23:28:00,148.0,185.12,Premium,Ranked,2,No,Referral,Yes,21,21-22
P1022,36,Germany,Bangalore,Minecraft,Sports,Ranked,Console,Switch,Steam,2022,2024-09-08,2025-02-13,21:20:00,23:18:00,118.0,139.44,Free,Team,1,No,Influencer,Yes,21,21-22
P1023,33,Brazil,Chennai,FIFA 24,Survival,Ranked,PC,iPhone 14,App Store,2021,2023-10-27,2025-06-11,18:29:00,20:37:00,128.0,88.43,Premium,Ranked,0,No,Ads,No,18,18-19
P1024,31,Brazil,Kolkata,Minecraft,Adventure,Solo,PC,Xbox Series X,App Store,2021,2021-03-26,2022-01-21,08:02:00,09:19:00,77.0,196.79,Premium,Solo,0,No,In-Game Promo,Yes,8,8-9
P1025,25,Canada,Kolkata,Apex Legends,Survival,Team Deathmatch,PC,Xbox Series X,Steam,2019,2023-10-08,2024-05-19,13:51:00,16:18:00,147.0,92.91,Free,Solo,0,No,Influencer,Yes,13,13-14
